Data Export Generated on Wed Feb 19 09:28:27 PST 2025,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 10772365,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Lead TA Shift Report - Thanks for helping us collect data!,What is the date of the shift you are reporting for?,Please choose the day of the week.,Please enter the time slot.,Approximately how many times did you help a student during your shift?,Comment on how long TAs generally spent with a given student during your shift.,What were the most common problems being addressed. Ideally these would be prefaced with the course number.
96515247,Completed,134.126.113.122,1/24/23 09:29,0,50,1,,,,,,,,,US,VA,,1/23/23,Monday,5-7 pm,10,10m,Setup for 149 and 159
96518692,Completed,75.102.131.71,1/24/23 10:12,0,149,1,,,,,,,,,US,VA,,1/23/23,Monday,9-11 pm,2,10-15 minutes,"159 - setting up junit, how to tell if a variable is final 149 - homework problems"
96525161,Completed,134.126.113.17,1/24/23 11:39,0,108,1,,,,,,,,,US,VA,,1/23/23,Monday,7-9 pm,we in total helped around 8 students,"As it wasn't busy, we spent more time with students","Common problems such as eclipse set up for 159, and general homework problems for 149"
96556437,Completed,75.102.131.71,1/24/23 20:29,0,76,1,,,,,,,,,US,VA,,1/24/23,Tuesday,5-7 pm,2,15-20 minutes,"149: debugging math, multiple variables in a print"
96559843,Completed,75.102.137.39,1/24/23 23:08,0,2052,1,,,,,,,,,US,VA,,1/24/23,Tuesday,9-11 pm,1,30,149 - print statements and concatenate two string with variables
96559929,Completed,52.124.33.75,1/24/23 23:13,0,98,1,,,,,,,,,US,VA,,1/24/23,Tuesday,7-9 pm,13,10-15 mins,"149 - bits and bytes, miles hw 159 - pa1 hand class"
96644586,Completed,181.214.233.68,1/25/23 20:18,0,75,1,,,,,,,,,US,AZ,,1/25/23,Wednesday,5-7 pm,8,5 minutes,General Java syntax
96649073,Completed,67.187.17.151,1/25/23 23:05,0,52,1,,,,,,,,,US,VA,,1/25/23,Wednesday,9-11 pm,2,5-10mins,CS 149- Matching output with gradescope
96719756,Completed,134.126.141.39,1/26/23 18:46,0,70,1,,,,,,,,,US,VA,,1/26/23,Thursday,5-7 pm,3,10 - 15 minutes,149 | String formatting & bit's n Bytes hw 159 | Hand class in PA
96730063,Completed,52.124.33.75,1/26/23 23:07,0,76,1,,,,,,,,,US,VA,,1/26/23,Thursday,7-9 pm,6,5-7 mins,"149 - String formatting, modulo, escape characters"
96731820,Completed,52.124.33.225,1/27/23 00:29,0,138,1,,,,,,,,,US,VA,,1/26/23,Thursday,9-11 pm,3,"Not too long, except when assisting one student with java project libraries ",Eclipse setup
96863232,Completed,134.126.141.25,1/29/23 18:49,0,139,1,,,,,,,,,US,VA,,1/29/23,Sunday,5-7 pm,9,Around 10 minutes each,It was mostly issues with NullPointerExceptions as students were not instantiating private attributes after declaring them. Other issues were with trying to access elements in an array without checking if it was null first: 159
96866055,Completed,134.126.113.32,1/29/23 21:03,0,100,1,,,,,,,,,US,VA,,1/29/23,Sunday,7-9 pm,9,5-10 mins,149 - Printing with formatted strings 261 - reading files
96904585,Completed,67.187.17.110,1/30/23 11:45,0,87,1,,,,,,,,,US,VA,,1/30/01,Sunday,9-11 pm,1,20 minutes,"343 | Student came in with a grade scope issue regarding HTML code. The Ta That was helping them was informed that they weren’t required to help, as we aren’t really responsible for 343."
96904914,Completed,134.126.113.9,1/30/23 11:51,0,80,1,,,,,,,,,US,VA,,1/29/23,Sunday,3-5 pm Sunday only,6,5-10 minutes,Mostly syntax or struggling with week 1 both for 149 and 159
96927463,Completed,134.126.113.66,1/30/23 18:52,0,507,1,,,,,,,,,US,VA,,1/30/23,Monday,5-7 pm,10,15m,159 pa 240 Pair thing
96930432,Completed,134.126.113.17,1/30/23 20:32,0,66,1,,,,,,,,,US,VA,,1/30/23,Monday,7-9 pm,1,10,
96965720,Completed,75.102.131.71,1/31/23 10:12,0,86,1,,,,,,,,,US,VA,,1/30/23,Monday,9-11 pm,1,15 minutes,240: confirming a type mismatch/wording a piazza question
97003819,Completed,134.126.113.93,1/31/23 20:59,0,145,1,,,,,,,,,US,VA,,1/31/23,Tuesday,7-9 pm,9,10-13 mins,"240 - integrator remove 159 - checkstyle, arrays, index out of bounds 149 - escape characters, math functions"
97033544,Completed,75.102.131.71,2/1/23 10:13,0,115,1,,,,,,,,,US,VA,,1/31/23,Tuesday,5-7 pm,10,10-15 minutes,"149: laptop setup, pop vs remove 159: initializing an array, pa instructions 240: generics"
97069202,Completed,134.126.113.0,2/1/23 17:31,0,47,1,,,,,,,,,US,VA,,1/31/23,Monday,9-11 pm,4,10-Jul,"one 345 , some with 240, 261"
97075233,Completed,52.124.33.225,2/1/23 20:23,0,172,1,,,,,,,,,US,VA,,2/1/23,Wednesday,5-7 pm,"30-40, cannot exactly remember exactly due to the quantity but we did not have a break for the full hour",10-15 minutes ,Mostly indeces and arrays mostly for the hand object
97079564,Completed,67.187.17.151,2/1/23 23:01,0,131,1,,,,,,,,,US,VA,,2/1/23,Wednesday,9-11 pm,8,10-15min,159- Matching output and understanding String Formatting 
97114287,Completed,75.102.137.39,2/2/23 10:14,0,65,1,,,,,,,,,US,VA,,2/1/23,Tuesday,7-9 pm,24,10-12 minutes,"159 lab questions, 261 lab, 149 homework."
97156066,Completed,134.126.113.86,2/2/23 19:03,0,105,1,,,,,,,,,US,VA,,2/2/23,Thursday,5-7 pm,20,15,"159 | Gradescope issues with lab 1, PA 1 149 | HW 3.5"
97168368,Completed,52.124.33.75,2/2/23 21:58,0,95,1,,,,,,,,,US,VA,,2/2/23,Thursday,7-9 pm,35,5-10 mins,"159 - array play, PA 1, objects, test cases 149 - string formatting 261 - undeclared variables, string comp for unique, fgets"
97172515,Completed,52.124.33.225,2/3/23 00:07,0,182,1,,,,,,,,,US,VA,,2/2/23,Thursday,9-11 pm,4,5 minutes generally with the exception of one student who wason a call for 30 mins,Understanding pa2 and constructing arrays to not get nullpointers
97347666,Completed,134.126.113.17,2/5/23 17:10,0,153,1,,,,,,,,,US,VA,,2/5/23,Sunday,3-5 pm Sunday only,7-May,10 minutes,There were just little syntax issues and printing issues with spacing (149)
97357524,Completed,67.187.17.110,2/5/23 22:55,0,33,1,,,,,,,,,US,VA,,2/5/23,Sunday,9-11 pm,5,10-15 minutes,149 | HW 3.5 
97391816,Completed,134.126.113.32,2/6/23 11:10,0,105,1,,,,,,,,,US,VA,,2/5/23,Sunday,7-9 pm,20,5-10 mins,149 - HW 3.5 and understanding how to format strings and string operations
97420669,Completed,134.126.113.81,2/6/23 17:05,0,71,1,,,,,,,,,US,VA,,2/5/23,Sunday,5-7 pm,16-20,10m,149 printing and accessing elements in a list
97425636,Completed,134.126.113.122,2/6/23 19:00,0,361,1,,,,,,,,,US,VA,,2/6/23,Monday,5-7 pm,20,10m,240 159
97429789,Completed,134.126.113.17,2/6/23 21:00,0,43,1,,,,,,,,,US,VA,,2/6/23,Monday,7-9 pm,1,10m,We had one student who just needed syntax issues 149
97432545,Completed,75.102.131.71,2/6/23 23:04,0,89,1,,,,,,,,,US,VA,,2/6/23,Monday,9-11 pm,0,N/A,N/A
97509373,Completed,75.102.137.39,2/8/23 00:57,0,71,1,,,,,,,,,US,VA,,2/7/23,Tuesday,9-11 pm,2,about 8-15 minutes,about 240 datatypes and 149 print formatting
97509443,Completed,75.102.131.71,2/8/23 01:02,0,90,1,,,,,,,,,US,VA,,2/7/23,Tuesday,5-7 pm,3,20-30 minutes ,149: practice exam review
97558460,Completed,134.126.113.32,2/8/23 13:53,0,56,1,,,,,,,,,US,VA,,2/7/23,Tuesday,7-9 pm,5,5-10min,CS149- Practice exam/formatting math problems
97581467,Completed,134.126.113.0,2/8/23 21:01,0,33,1,,,,,,,,,US,VA,,2/8/23,Wednesday,7-9 pm,6,15,159 pa2
97584703,Completed,67.187.17.151,2/8/23 23:01,0,50,1,,,,,,,,,US,VA,,2/8/23,Wednesday,9-11 pm,1,20 mins,CS149 - Formatting strings
97618588,Completed,52.124.33.225,2/9/23 10:32,0,102,1,,,,,,,,,US,VA,,2/8/23,Wednesday,5-7 pm,4,10,Arraylist syntax
97648735,Completed,134.126.141.39,2/9/23 18:49,0,59,1,,,,,,,,,US,VA,,2/9/23,Thursday,5-7 pm,7,10 minutes,159 | PA 2 149 | HW 3
97652589,Completed,134.126.113.32,2/9/23 20:53,0,143,1,,,,,,,,,US,VA,,2/9/23,Thursday,7-9 pm,2,30 mins,CS 149 - array indexing CS 240 - understanding interfaces/generics
97655515,Completed,52.124.33.225,2/9/23 23:03,0,119,1,,,,,,,,,US,VA,,2/9/23,Thursday,9-11 pm,0,0,N/A
97772305,Completed,134.126.141.39,2/12/23 17:10,0,240,1,,,,,,,,,US,VA,,2/12/23,Sunday,3-5 pm Sunday only,0,0,
97774593,Completed,134.126.113.17,2/12/23 19:02,0,37,1,,,,,,,,,US,VA,,2/12/23,Sunday,5-7 pm,2,10min,159 file i/o 159 2d arrays
97777075,Completed,134.126.113.93,2/12/23 21:00,0,53,1,,,,,,,,,US,VA,,2/12/23,Sunday,7-9 pm,1,5 mins,261 - reading p1 integration test diffs
97779269,Completed,67.187.17.110,2/12/23 22:58,0,50,1,,,,,,,,,US,VA,,2/12/23,Sunday,9-11 pm,1,10,240 | Generics
97865695,Completed,134.126.113.122,2/13/23 18:52,0,71,1,,,,,,,,,US,VA,,2/13/23,Monday,5-7 pm,10,20m,240
97874057,Completed,75.102.131.71,2/13/23 23:04,0,84,1,,,,,,,,,US,VA,,2/13/23,Monday,9-11 pm,7,25 minutes,240: iterators
97920414,Completed,134.126.113.17,2/14/23 11:48,0,103,1,,,,,,,,,US,VA,,2/14/23,Monday,7-9 pm,20,15minutes,240-Iterator issues with the next function on pa1 149-blackjack stuff 159- fileio
97969916,Completed,134.126.113.93,2/14/23 21:08,0,87,1,,,,,,,,,US,VA,,2/14/23,Tuesday,7-9 pm,23,15-20 mins,"149 - list appending 159 - creating private helper methods 240 - iterators, generics, generic typing issues 261 - getopt"
97976935,Completed,75.102.137.39,2/15/23 00:20,0,46,1,,,,,,,,,US,VA,,2/14/23,Tuesday,9-11 pm,4,25,240 iterators
98031594,Completed,75.102.131.71,2/15/23 09:47,0,65,1,,,,,,,,,US,VA,,2/14/23,Tuesday,5-7 pm,25,15 minutes,"240: iterators 159: file I/O, arraylists, type mismatches"
98096352,Completed,134.126.113.0,2/15/23 20:49,0,93,1,,,,,,,,,US,VA,,2/15/23,Wednesday,7-9 pm,21,15,"159 document labs, 261 p2"
98155226,Completed,2605:ad80:20:905b:111c:a840:9663,2/16/23 10:12,0,85,1,,,,,,,,,US,VA,,2/15/23,Wednesday,5-7 pm,15,10,Pa2 159
98213758,Completed,134.126.113.52,2/16/23 19:11,0,59,1,,,,,,,,,US,VA,,2/16/23,Thursday,5-7 pm,24,15,159 | PA2 (a ton of these) 149 | HW 4
98224439,Completed,2600:1003:b844:d536:788e:5166:9b,2/16/23 21:39,0,88,1,,,,,,,,,US,VA,,2/16/23,Thursday,7-9 pm,22,10-15 minutes ,"149 - hw 4.3 159 - constructor, nested objects, show test results (nested data) 261 - stack smashing p1 240 - multilist add"
98228350,Completed,2605:ad80:20:905b:a5a4:7959:9c0a,2/16/23 23:05,0,54,1,,,,,,,,,US,VA,,2/16/23,Thursday,9-11 pm,13,15,pa2 for 159 'gradescope errors' 
98381624,Completed,134.126.113.32,2/17/23 10:53,0,49,1,,,,,,,,,US,VA,,2/15/23,Wednesday,9-11 pm,4,15-20mins,CS 149- Conditionals/reading instructions
98511467,Completed,134.126.113.9,2/19/23 17:04,0,67,1,,,,,,,,,US,VA,,2/19/23,Sunday,3-5 pm Sunday only,3,15,"261, elf header, error reading vs invalid header"
98519119,Completed,2600:1003:b857:dfef:24cb:ae9b:e0,2/19/23 21:28,0,201,1,,,,,,,,,US,VA,,2/19/23,Sunday,9-11 pm,14,5-15 mins,149 - Conditionals 159 - Reading sepcs/typecasting
98919164,Completed,134.126.113.32,2/20/23 10:19,0,87,1,,,,,,,,,US,VA,,2/19/23,Sunday,7-9 pm,13,5-15mins,CS 149 - Conditionals/Reading specs CS 159 - Reading specs/Typecasting
98921880,Completed,67.187.17.110,2/20/23 11:05,0,48,1,,,,,,,,,US,VA,,2/20/23,Thursday,9-11 pm,5,15,149 | HW 4 159 | PA 2
98948209,Completed,75.102.131.71,2/20/23 23:03,0,59,1,,,,,,,,,US,VA,,2/20/23,Monday,9-11 pm,2,15 minutes,227: notation 261: segfault
98974601,Completed,134.126.113.41,2/21/23 10:15,0,46,1,,,,,,,,,US,VA,,2/20/23,Monday,5-7 pm,15,15m,261 p1
99006561,Completed,134.126.113.93,2/21/23 21:05,0,44,1,,,,,,,,,US,VA,,2/21/23,Tuesday,7-9 pm,7,10 minutes ,"149 - avoiding code repetition, writing test cases, functions, importing errors, calling functions from other files "
99065321,Completed,134.126.113.0,2/22/23 10:14,0,32,1,,,,,,,,,US,VA,,2/21/23,Tuesday,9-11 pm,4,11,cs 149 homework 5
99097705,Completed,75.102.131.71,2/22/23 13:19,0,50,1,,,,,,,,,US,VA,,2/21/23,Tuesday,5-7 pm,15,15-20 minutes,"149: conditionals, functions"
99101385,Completed,134.126.113.17,2/22/23 14:01,0,167,1,,,,,,,,,US,VA,,2/20/23,Monday,7-9 pm,15,10,We had a lot of issues with 261 and a certain unit test that was with the getopt any other issues were syntax issues with 149
99129906,Completed,2601:5c4:c400:bf20:d1ba:d186:318,2/22/23 23:02,0,31,1,,,,,,,,,US,VA,,2/22/23,Wednesday,9-11 pm,2,20 min,CS 149 - Functions
99169444,Completed,2605:ad80:20:905b:71a7:39a3:bb18,2/23/23 10:16,0,80,1,,,,,,,,,US,VA,,2/22/23,Wednesday,5-7 pm,15,10 minutes,Super/subclasses in java
99220321,Completed,134.126.113.93,2/23/23 21:03,0,154,1,,,,,,,,,US,VA,,2/23/23,Thursday,7-9 pm,14,10 mins,"149 - if statements and conditionals, returning too soon 159 - limited aisle constructor (adding the max parameter)"
99276035,Completed,75.102.137.39,2/24/23 15:05,0,62,1,,,,,,,,,US,VA,,2/22/23,Wednesday,7-9 pm,15,7,cs149 and cs159 homework
99276081,Completed,75.102.137.39,2/24/23 15:05,0,33,1,,,,,,,,,US,VA,,2/23/23,Thursday,5-7 pm,1,2,cs149
99344221,Completed,209.54.89.65,2/26/23 10:06,0,221,1,,,,,,,,,US,VA,,2/23/23,Thursday,9-11 pm,4,15 - 20 mins,159 inheritance lab getting the total rejected 149 hw 5 calling functions/creating functions 
99357914,Completed,134.126.113.9,2/26/23 17:03,0,111,1,,,,,,,,,US,VA,,2/26/23,Sunday,3-5 pm Sunday only,21,10 minutes,149 syntax and understanding gradescope messages
99398736,Completed,67.187.17.110,2/27/23 10:12,0,35,1,,,,,,,,,US,VA,,2/26/23,Sunday,9-11 pm,3,20,149 | HW 5.3
99404261,Completed,134.126.113.32,2/27/23 11:18,0,65,1,,,,,,,,,US,VA,,2/26/23,Sunday,7-9 pm,16,10-15mins,CS 149 - Docstrings and PEP8 CS 159 - Readiness Quiz
99445606,Completed,134.126.113.17,2/27/23 19:25,0,57,1,,,,,,,,,US,VA,,2/27/23,Sunday,5-7 pm,31,10,149: All over the place. Mostly code duplication 
99447000,Completed,2600:1003:b866:11f7:249d:3ca2:95,2/27/23 19:58,0,49,1,,,,,,,,,US,VA,,2/27/23,Monday,5-7 pm,20,10m,159 pa
99455181,Completed,75.102.131.71,2/27/23 23:34,0,48,1,,,,,,,,,US,VA,,2/27/23,Monday,9-11 pm,0,N/A,N/A
99514974,Completed,2600:1003:b84f:552b:84de:c240:97,2/28/23 21:06,0,454,1,,,,,,,,,US,VA,,2/28/23,Tuesday,7-9 pm,15,20 mins,"149 - understanding functions and parameters, 159 - product rounding, assertThrows, junit 261 - memory_t pointers"
99518124,Completed,75.102.137.39,2/28/23 22:59,0,65,1,,,,,,,,,US,VA,,2/28/23,Tuesday,9-11 pm,4,20,"cs 149, cs159"
99551430,Completed,75.102.131.71,3/1/23 09:45,0,142,1,,,,,,,,,US,VA,,2/28/23,Tuesday,5-7 pm,25,10 minutes,"149: functions, infinite loops 159: 100% test coverage 240: out of bounds 261: reading phdr"
99587238,Completed,134.126.113.17,3/1/23 15:11,0,53,1,,,,,,,,,US,VA,,2/27/23,Monday,7-9 pm,16,10,"It was mostly 159, with a range of issues all about the PA"
99604773,Completed,134.126.113.0,3/1/23 21:00,0,62,1,,,,,,,,,US,VA,,3/1/23,Wednesday,7-9 pm,17,15,"cs 149 hw , cs 159 project unit"
99608090,Completed,67.187.17.151,3/1/23 23:01,0,125,1,,,,,,,,,US,VA,,3/1/23,Wednesday,9-11 pm,4,15-20mins,CS 149- How to incorporate loops and choosing whether to use a for each loop or loop with range()
99637298,Completed,2605:ad80:20:905b:65e7:664:4b70:,3/2/23 10:12,0,114,1,,,,,,,,,US,VA,,3/1/23,Wednesday,5-7 pm,15,10 minutes,"Understanding how to replace elements in an arraylist, and further how to test for it."
99675804,Completed,2600:1003:b85f:234b:b933:9de0:37,3/2/23 21:22,0,75,1,,,,,,,,,US,VA,,3/2/23,Thursday,7-9 pm,14,20 mins,"149 - string formatting, for loops 159 - juint, assertEquals w/o and equals method"
99678543,Completed,2605:ad80:20:905b:499d:5cbc:d7bf,3/2/23 23:17,0,35,1,,,,,,,,,US,VA,,3/2/23,Thursday,9-11 pm,5,15,
99701852,Completed,67.187.17.110,3/3/23 10:11,0,48,1,,,,,,,,,US,VA,,3/2/23,Thursday,5-7 pm,25,15,159 | PA3 149 | HW 6
99787252,Completed,134.126.113.17,3/5/23 17:03,0,69,1,,,,,,,,,US,VA,,3/5/23,Sunday,3-5 pm Sunday only,45,7 minutes,"149 - homework 6 with loops and index out of bounds 159 - junit issues, toString, out of bounds, not naming the files right."
99817296,Completed,67.187.17.110,3/6/23 10:22,0,51,1,,,,,,,,,US,VA,,3/5/23,Sunday,9-11 pm,9,15,149 | Krabs game
99848829,Completed,134.126.113.17,3/6/23 18:52,0,199,1,,,,,,,,,US,VA,,3/5/23,Sunday,5-7 pm,55,5,"149 - Anything loop related; reading instructions 159 - Index out of bounds, other errors, etc."
99856996,Completed,75.102.131.71,3/7/23 01:01,0,69,1,,,,,,,,,US,VA,,3/6/23,Monday,9-11 pm,4,10-25 minutes,240: mergesort merging
99878158,Completed,134.126.113.41,3/7/23 10:13,0,61,1,,,,,,,,,US,VA,,3/6/23,Monday,5-7 pm,20,10m,Everything 149 - 159 - 240 - 261
99883226,Completed,2600:1003:b845:b0a8:c5f5:279e:bd,3/7/23 11:16,0,80,1,,,,,,,,,US,VA,,3/5/23,Sunday,7-9 pm,,,
99883432,Completed,2603:3021:1c68:0:74a8:971b:21d7:,3/7/23 11:18,0,89,1,,,,,,,,,US,VA,,3/5/23,Sunday,7-9 pm,15,5-15mins,CS 149 - Knowing when/how to loop (expecially with hw 6.5 encode()) CS 159 - Understanding specs for Slot CS 261 - Load segment
99893530,Completed,134.126.113.32,3/7/23 13:24,0,74,1,,,,,,,,,US,VA,,3/5/23,Sunday,7-9 pm,15,5-15min,CS 149 - When/how to use loops CS 159 - Understanding specs of Slots CS 261 - Load segment method
99918546,Completed,2600:1003:b86b:7345:b5d1:8b98:a5,3/7/23 21:20,0,118,1,,,,,,,,,US,VA,,3/7/23,Tuesday,7-9 pm,12,15-20 mins,"149 - midterm review, tracing code 159 - midterm review, tracing code, mutable vs immutable, violets vending, what error would be thrown 261 - read phdr, load segment"
99921778,Completed,75.102.137.39,3/7/23 23:09,0,32,1,,,,,,,,,US,VA,,3/7/23,Tuesday,9-11 pm,4,10,"149 practice questions, 261 p2"
99965870,Completed,134.126.113.81,3/8/23 15:10,0,134,1,,,,,,,,,US,VA,,3/7/23,Tuesday,5-7 pm,20,10 minutes,"149: loops 159: instructions, math errors 261: phdrs"
99976534,Completed,134.126.113.17,3/8/23 17:38,0,37,1,,,,,,,,,US,VA,,3/6/23,Monday,7-9 pm,10,15 minutes,261 (all over the place) 149 homework questions loops
